chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr11,4745938,4746987,13.59303345065874,21.410442671958048,0.6348786738754344,0.4,both,endo_only,False,3,2,"11.024623261186473,12.765379209877565,16.98909788091218","16.293202796154468,26.52768254776163",4710,1049,CpG:,621,0,2,,4.70937;4.04733,4742971,4747681
chr19,5098312,5098610,10.522131851647543,16.73770489050729,0.6286484270382329,0.2,both,endo_only,False,3,2,"14.230019856023985,9.143946535485647,8.192429163433006","18.816278227175776,14.659131553838801",2908,298,CpG:,623,1,2,3.96705,5.01535;4.88902,5096925,5099833
chr10,23348465,23348670,32.64720237637394,52.8442239979262,0.6178007718999741,0.2,both,endo_only,False,3,2,"28.56645663707487,28.87095793209713,40.504192559949814","57.36296924980738,48.32547874604502",3720,205,CpG:,763,0,2,,9.7467;5.75776,23347450,23351170
chr11,106255313,106255573,38.810245945404,62.86472805682098,0.6173612317279878,0.2,both,endo_only,False,3,2,"46.92317519700453,41.46200985471117,28.0455527844963","70.61446664778785,55.11498946585411",3554,260,CpG:,1395,1,2,9.99954,12.382;14.1308,106254907,106258461
chr11,120187268,120187720,11.08251024870676,18.14141558496844,0.6108955608673379,1.0,both,endo_only,False,3,2,"6.74052638362161,7.394841254447468,19.112163108051195","33.59614649948433,2.686684670452549",1123,452,CpG:,1501,1,2,4.41795,5.91877;6.79857,120186790,120187913
chr1,89941589,89942209,8.375094406429797,14.028082999983823,0.5970234426499654,1.0,both,endo_only,False,3,2,"6.090934407243642,13.132675249789203,5.901673562256543","4.0998209282942035,23.956345071673443",2321,620,CpG:,1271,1,2,3.70739,2.5992;4.54819,89940020,89942341
chr18,84085367,84086150,30.42990126726617,51.197848682296566,0.5943589828568007,0.2,both,endo_only,False,3,2,"27.730459742558338,28.85691473925623,34.702329319983974","66.72111779159296,35.67457957300017",6061,783,CpG:,1226,1,2,2.4851,8.63675;2.50296,84084326,84090387
chr2,74727333,74727642,18.112298523229764,30.998090280692544,0.5843036896537843,0.2,both,endo_only,False,3,2,"11.839063907648795,23.540984238913317,18.956847423127183","25.75917991776635,36.237000643618735",3141,309,CpG:,1155,1,2,7.06795,7.70339;6.76479,74725997,74729138
chr17,15705695,15705900,49.42954945584895,87.49813405236159,0.5649211836479711,0.2,both,endo_only,False,3,2,"43.579313976954424,36.847282503715434,67.86205188687697","75.23268593533228,99.76358216939089",2312,205,CpG:,704,1,2,7.46999,14.5061;15.615,15703921,15706233
chr11,78924996,78925388,10.309105468620489,18.577274627685547,0.5549309936591518,0.8,both,endo_only,False,3,2,"15.158394379085964,13.53484795305464,2.2340740737208615","5.172480237042462,31.98206901832863",2700,392,CpG:,1187,1,2,6.02448,4.6446;5.28151,78923419,78926119
chr2,91457478,91458062,19.52563316621772,35.594657907990914,0.5485551572567371,0.2,both,endo_only,False,3,2,"19.92469470257076,18.154389146363517,20.49781564971887","41.82762125763509,29.361694558346745",4155,584,CpG:,1282,1,2,4.01133,8.88008;7.1259,91456022,91460177
chr12,100520311,100520687,27.06266143457886,49.425917906420565,0.5475398855680805,0.4,both,endo_only,False,3,2,"23.490536543197962,19.644729301784977,38.052718458753645","32.30560992961322,66.54622588322792",1848,376,CpG:,1351,1,2,5.1484,7.2175;10.7812,100519697,100521545
chr11,95019904,95020272,11.671202521187006,21.8031346070851,0.5352992921207924,0.4,both,endo_only,False,3,2,"8.177216381327762,7.753867640140209,19.082523542093046","10.416208068811583,33.19006114535861",3384,368,CpG:,1309,1,2,13.1922,5.20279;6.75692,95018831,95022215
chr11,120437167,120437794,16.4491887485461,30.95882528471446,0.5313247061950921,0.4,both,endo_only,False,3,2,"34.4533698917013,8.571655305791555,6.322541048145448","19.370682674771558,42.546967894657364",1238,627,CpG:,1503,1,2,5.53615,7.62432;7.05405,120436792,120438030
chr11,85832089,85833596,14.643715814565184,27.64086045149638,0.5297850926262473,0.4,both,endo_only,False,3,2,"14.22052036208732,20.80398541365093,8.90664166795731","15.478681373830208,39.803039529162554",4279,1507,CpG:,1239,0,2,,5.8966;8.32334,85830323,85834602
chr3,103575178,103576605,10.05781692450754,19.148297649569216,0.5252590652482265,0.2,both,endo_only,False,3,2,"11.80104524398218,11.620076142044434,6.752329387496003","17.105835612621064,21.190759686517367",5198,1427,CpG:,1375,1,2,3.1548,6.71579;6.24104,103575188,103580386
chr17,6655118,6655880,14.835140963368332,28.497529351857644,0.5205763903319319,0.2,both,endo_only,False,3,2,"14.708791514210617,14.982397839284692,14.814233536609686","33.67114924473782,23.323909458977464",733,762,CpG:,635,1,2,3.66777,11.1794;3.48811,6655135,6655868
chr8,13201140,13201353,8.71439311614595,16.744289277112316,0.5204397136197121,0.2,both,endo_only,False,3,2,"9.234152612477503,7.466903273779205,9.44212346218114","14.967208812964008,18.52136974126062",3885,213,CpG:,685,1,2,9.80932,4.74928;5.81816,13199544,13203429
chr5,100158795,100159586,9.544814813387818,18.392285806099768,0.5189575082735121,0.4,both,endo_only,False,3,2,"9.499006561283926,6.187190409713579,12.94824746916595","24.634263350402268,12.150308261797266",1648,791,CpG:,1349,1,2,4.2027,6.43983;3.56789,100158753,100160401
chr12,33968482,33968740,12.005546401847493,23.67159128542117,0.5071710751123627,0.4,both,endo_only,False,3,2,"8.607936985893355,8.41075846725259,18.997943752396534","37.27613641473544,10.067046156106901",2904,258,CpG:,844,0,2,,5.92986;4.78382,33965799,33968703
chr13,48665897,48666361,12.348005250894028,24.684583620545183,0.500231457848723,0.4,both,endo_only,False,3,2,"5.331670671765248,11.6924679146589,20.019877166257935","18.42707297633496,30.94209426475541",1868,464,CpG:,956,0,2,,5.07299;5.55051,48665986,48667854
chr2,147183909,147184553,14.08342179933454,28.531509814776804,0.4936094125674544,0.4,both,endo_only,False,3,2,"13.801601819619936,8.10829436842868,20.340369209955007","39.50467521941835,17.55834441013526",2614,644,CpG:,1707,1,2,7.35798,8.43633;7.21661,147183976,147186590
chr7,19577199,19577670,5.663114104078804,11.702965442186748,0.4839041977911392,0.4,both,endo_only,False,3,2,"4.872159477555272,11.66208099707579,0.4551018376053471","12.792312434959761,10.613618449413734",2184,471,CpG:,734,0,2,,4.86093;4.66448,19575188,19577372
chr5,98181315,98181578,13.782803261068892,28.71029028364625,0.4800649218416211,0.4,both,endo_only,False,3,2,"18.37813575550325,10.989940391891428,11.980333635811995","41.51708369245152,15.903496874840988",3848,263,CpG:,1334,0,2,,5.8368;7.09885,98179128,98182976
chr15,27665505,27665735,9.773861369015796,20.65349377854613,0.4732304119494019,0.2,both,endo_only,False,3,2,"5.798816747416486,14.351515987957866,9.171251371673037","16.04676966332689,25.260217893765372",2452,230,CpG:,796,1,2,3.24765,4.07804;8.0728,27664333,27666785
chr2,93014696,93015265,9.570483316677514,20.25599282540318,0.4724766344049601,0.2,both,endo_only,False,3,2,"6.08447224946812,14.509683828688303,8.117293871876118","20.01099207092802,20.50099357987834",3308,569,CpG:,1294,1,2,3.99175,9.3278;5.62132,93013345,93016653
chr6,124996811,124997047,14.334996082530886,30.57135999009583,0.4689027929138573,0.4,both,endo_only,False,3,2,"25.632579789869368,13.104827005061251,4.267581452662035","37.57189312463292,23.57082685555874",1543,236,CpG:,1538,0,2,,9.37347;4.02388,124996429,124997972
chr19,47178603,47179636,6.134905120941124,13.10449909174984,0.4681525846953934,0.2,both,endo_only,False,3,2,"8.67539694742723,6.989150493433981,2.74016792196216","15.672227930209853,10.536770253289829",2640,1033,CpG:,944,1,2,2.66116,4.62441;7.22503,47178159,47180799
chr9,78442517,78443268,7.991824552259946,17.203720312369498,0.4645404835205217,0.3333333333333333,both,endo_only,False,2,2,"7.735761266633084,16.239712390146757,0.0","17.38075109532005,17.026689529418945",1520,751,CpG:,1183,1,2,3.11933,4.26539;4.11714,78442023,78443543
chr19,6375517,6375855,12.294425788562968,26.51211267868199,0.4637286336840571,0.4,both,endo_only,False,3,2,"6.66884828416729,23.86134617956595,6.353082901955665","39.17845170711719,13.84577365024679",2821,338,CpG:,633,1,2,4.62297,9.88174;4.12668,6374024,6376845
chr13,40733526,40733807,12.17401682469233,26.34037957316293,0.4621807666392137,0.4,both,endo_only,False,3,2,"6.378761285512235,3.0830255098991994,27.06026367866556","20.047808917779573,32.6329502285463",955,281,CpG:,895,0,2,,6.23808;5.87503,40733029,40733984
chr10,24223586,24223967,17.292551288146615,38.070109201441326,0.4542290960250758,0.4,both,endo_only,False,3,2,"15.119028091430664,8.814883235468805,27.943742537540377","26.510294721499477,49.62992368138318",569,381,CpG:,769,1,2,3.31347,4.85184;8.42145,24223549,24224118
chr4,154139682,154140605,11.654948273989651,25.855803374439247,0.45076720708325,0.2,both,endo_only,False,3,2,"8.56386973363969,13.696666412646204,12.704308675683063","26.841287209249824,24.870319539628674",3128,923,CpG:,1760,1,2,2.92293,7.07231;4.84756,154139448,154142576
chr9,91378538,91379204,10.85388691737675,24.07894426235797,0.4507625749333357,0.2,both,endo_only,False,3,2,"9.149481171561302,8.060514290524623,15.35166529004433","32.06288728174174,16.09500124297421",6466,666,CpG:,1282,1,2,2.78649,7.06439;5.15973,91378328,91384794
chr4,154141473,154141729,14.945332505540824,33.37974060140269,0.4477366281544078,0.2,both,endo_only,False,3,2,"12.593162613491568,12.942943821866207,19.299891081264697","42.324469526949095,24.435011675856277",1985,256,CpG:,1761,0,2,,7.07231;6.19121,154140597,154142582
chr14,39472116,39472397,15.602401814153556,35.08191592874209,0.4447420102666269,0.2,both,endo_only,False,3,2,"16.508443133756543,12.696625362177546,17.60213694652658","46.827397922367894,23.336433935116297",2913,281,CpG:,886,0,2,,6.7608;6.87586,39470840,39473753
chr12,117533752,117534427,10.989936717882458,24.85088445513087,0.4422352346342106,0.4,both,endo_only,False,3,2,"2.2915814611374463,25.791554843654158,4.8866738488557715","30.7589517395621,18.94281717069964",1167,675,CpG:,1481,1,2,4.244,8.94223;3.89589,117533517,117534684
chr14,63245177,63245911,6.256725849317571,14.165893086543264,0.4416753543947808,0.4,both,endo_only,False,3,2,"5.648355271392128,11.736858393611103,1.384963882949482","7.57317018409247,20.758615988994055",2153,734,CpG:,1067,1,2,3.19568,5.02512;4.38304,63243912,63246065
chr12,31559063,31559923,15.192049439590756,35.233659839866185,0.4311799997115614,0.8,both,endo_only,False,3,2,"16.764734327202977,10.359480772868242,18.45193321870105","59.64595001522857,10.821369664503797",2020,860,CpG:,825,1,2,3.16261,12.2041;3.37945,31558950,31560970
chr11,33200452,33204334,3.510227566497793,8.164749548719097,0.429924708106752,0.2,both,endo_only,False,3,2,"6.98987826488602,2.1125516055975857,1.4282528290097734","7.471522712522878,8.857976384915318",2066,3882,CpG:,838,0,2,,2.59871;3.37953,33201106,33203172
chr7,45215793,45216153,10.608803190598536,24.70775571795766,0.4293713808611128,0.4,both,endo_only,False,3,2,"9.349776347892691,18.41687135715062,4.0597618667522966","15.863391846379525,33.55211958953579",3068,360,CpG:,929,0,2,,6.48918;5.25796,45215440,45218508
chr4,65124446,65124914,19.728563176381577,45.98713901935281,0.4290017512957087,0.2,both,endo_only,False,3,2,"25.010338186969072,20.013381795279656,14.161969546896005","59.047810266081456,32.92646777262417",4315,468,CpG:,1081,0,2,,10.247;6.14573,65123951,65128266
chr14,104473079,104473450,5.755161993891382,13.43314445103973,0.4284299938013344,0.4,both,endo_only,False,3,2,"2.560777081693435,13.43321823965349,1.2714906603272198","20.79369101422107,6.07259788785839",1539,371,CpG:,1382,0,2,,5.29013;3.15675,104471967,104473506
chrX,71664218,71664718,10.248111408294395,24.00562809738709,0.4269045311674165,0.2,both,endo_only,False,3,2,"10.547501523256901,13.739945761016308,6.456886940609979","27.33451005499201,20.67674613978217",1193,500,CpG:,1131,1,2,2.77165,12.3085;5.51525,71663885,71665078
chr5,35391593,35392640,4.037695492322172,9.56112800712016,0.4223032564060752,0.5,exo_only,endo_only,False,3,1,"5.535937304140917,5.7297009989041,0.8474481739214996","19.12225601424032,0.0",1675,1047,CpG:,855,0,2,,11.0757;7.20255,35390989,35392664
chr14,32165537,32165807,10.212969527164388,24.505527316167964,0.4167618756126989,0.2,both,endo_only,False,3,2,"19.766441311256113,6.085859486422364,4.786607783814684","21.656639074595343,27.354415557740587",1011,270,CpG:,830,1,2,3.45457,6.9312;5.35325,32165071,32166082
chr13,3358212,3361343,5.21768415390386,12.83729328893846,0.4064473745723168,0.2,both,endo_only,False,3,2,"3.704938152682397,10.417121978293453,1.5309923307357296","10.508031882009199,15.166554695867722",3875,3131,CpG:,610,1,2,4.14762,"3.79408;4.90645,6.3275",3358100,3361975
chrX,50841308,50841887,12.0108171258901,29.5705057862592,0.4061755728057677,0.8,both,endo_only,False,3,2,"22.872515068953675,10.75620665198514,2.403729656731491","49.38866023717509,9.752351335343311",1654,579,CpG:,972,1,2,3.47295,8.50345;4.32174,50840749,50842403
chr7,141068553,141068775,17.210761553434647,42.864166918571286,0.4015186294447246,0.4,both,endo_only,False,3,2,"17.391987491561622,29.712411310236657,4.52788585850566","66.975625295825,18.75270854131757",1077,222,CpG:,1661,1,2,4.29735,11.7584;6.76447,141067897,141068974
chr1,191097856,191098676,13.797132081617365,34.847785481425774,0.3959256489618651,0.4,both,endo_only,False,3,2,"8.51069168933356,23.228091877123358,9.65261267839517","22.436920987911414,47.258649974940134",2703,820,CpG:,2042,1,2,4.65011,7.69684;6.60483,191096727,191099430
chr8,105613932,105614532,14.933788939942856,37.952063172276176,0.3934908326894841,0.4,both,endo_only,False,3,2,"15.030705993282973,19.58127779262757,10.189383033918022","57.298963861460145,18.605162483092208",3594,600,CpG:,1390,1,2,3.91189,10.9411;5.74921,105612198,105615792
chr5,147751677,147751938,13.462883628619752,34.60340235817907,0.3890624248235978,0.4,both,endo_only,False,3,2,"9.592961651664485,9.653881696357745,21.141807537837025","50.1385340211433,19.068270695214828",2239,261,CpG:,1712,0,2,,7.99879;5.66288,147749794,147752033
chr19,37018415,37018686,20.5616689312981,53.1956384656668,0.3865292254095021,0.8,both,endo_only,False,3,2,"21.74757831356791,18.037705059394792,21.899723420931597","21.031651319883537,85.35962561145006",889,271,CpG:,867,1,2,3.2838,4.99817;10.3582,37018140,37019029
chrX,168122986,168123301,11.343040288474418,29.3578369014188,0.3863718000261195,0.8,both,endo_only,False,3,2,"5.083892328852882,15.335783817349853,13.609444719220518","10.010257064091553,48.705416738746045",1237,315,CpG:,1867,1,2,3.1357,3.98544;6.23089,168122674,168123911
chr19,44545470,44545881,12.030870121861748,31.5959277739072,0.3807728074311265,0.4,both,endo_only,False,3,2,"8.25321363843353,23.758123070700876,4.081273656450836","49.398664165475516,13.79319138233888",1790,411,CpG:,924,1,2,3.41885,8.47614;6.97668,44544438,44546228
chr12,24680629,24681116,6.769580745176259,18.008661962047942,0.3759069252031439,0.4,both,endo_only,False,3,2,"10.265621426438335,7.731266120560149,2.3118546885302944","9.97213414506695,26.045189779028934",2808,487,CpG:,773,1,2,3.15604,4.71885;5.01532,24678268,24681076
chr18,53462842,53463091,10.735454764282494,28.68124068410773,0.3743023142730017,0.2,both,endo_only,False,3,2,"7.315364017298347,13.130840695218035,11.7601595803311","19.747173510099714,37.61530785811575",608,249,CpG:,992,0,2,,4.15872;3.45996,53462484,53463092
chr10,85829330,85829651,10.364149038981155,28.307326959373768,0.3661295555689741,0.6666666666666666,both,endo_only,False,2,2,"6.165990635559872,24.9264564813836,0.0","15.15064711050714,41.4640068082404",541,321,CpG:,1239,0,2,,2.77248;3.83416,85829444,85829985
chr8,36549162,36549390,11.27171349532466,31.700221288130543,0.3555720760708099,0.4,both,endo_only,False,3,2,"1.9976001715933656,19.535808201290713,12.281732113089902","17.883989244883605,45.51645333137748",1133,228,CpG:,863,1,2,2.77889,8.22527;5.62486,36548421,36549554
chr8,121073543,121073839,10.883423901240484,30.78307942120496,0.3535521496183851,1.0,both,endo_only,False,3,2,"5.734687776885942,16.891340932648383,10.024242994187132","56.52381374462747,5.0423450977824436",2798,296,CpG:,1508,1,2,3.54609,7.33473;2.25482,121071695,121074493
chr2,25305080,25305422,10.654757497586091,30.180727391298333,0.3530318325150127,0.2,both,endo_only,False,3,2,"5.966172581288352,24.452791433033855,1.5453084784360667","33.29081638772689,27.07063839486978",603,342,CpG:,778,1,2,3.98513,6.58399;4.90936,25305016,25305619
chr19,4867803,4868028,7.953284685286886,22.595087231584564,0.3519917672266995,0.2,both,endo_only,False,3,2,"2.8946251856943634,9.467141357363037,11.498087512803261","14.819564329014952,30.370610134154177",1556,225,CpG:,622,1,2,7.1012,7.27776;4.77196,4866895,4868451
chrX,38180828,38181252,7.756643479656478,22.058947436994263,0.3516325292406332,0.4,both,endo_only,False,3,2,"3.239769715230066,13.415507455729877,6.614653268009492","12.615971627903027,31.501923246085507",2207,424,CpG:,876,1,2,3.33177,4.60442;5.23918,38179880,38182087
chr2,119270941,119271233,12.270313021222805,34.89886697622773,0.3515963148483028,0.2,both,endo_only,False,3,2,"17.14013638085736,17.896694667634023,1.7741080151770277","30.86912530493066,38.928608647524804",2241,292,CpG:,1494,1,2,3.92122,8.10824;5.62012,119269064,119271305
chr17,36248872,36249182,4.283282934988429,12.28715186971901,0.3485985182249059,0.6666666666666666,both,endo_only,False,2,2,"0.0,9.87218608707636,2.9776627178889252","7.896626056919132,16.677677682518887",1669,310,CpG:,861,0,2,,4.17524;3.82244,36247964,36249633
chr6,83068670,83071455,6.543102467230736,18.964444336434365,0.3450194664897284,0.4,both,endo_only,False,3,2,"3.75957377174093,3.6184085006137794,12.2513251293375","12.102306900636494,25.826581772232235",2119,2785,CpG:,1218,1,2,"3.58959,2.4851",3.93768;7.09035,83069011,83071130
chr6,131433654,131434025,13.431151465083778,41.25410458702273,0.3255712758654518,0.2,both,endo_only,False,3,2,"1.4602296557765775,21.6393160480685,17.19390869140625","32.368431291330175,50.139777882715286",534,371,CpG:,1587,1,2,2.83607,5.54359;6.38372,131433403,131433937
chr7,45488581,45488888,8.520409089051261,26.95104019704561,0.3161439791101374,0.2,both,endo_only,False,3,2,"9.636942003168848,15.042871009190302,0.8814142547946352","28.29562502434766,25.60645536974356",1103,307,CpG:,932,1,2,3.08685,8.79333;4.27019,45488317,45489420
chr13,74292231,74292439,4.997813699512127,15.905538410122052,0.3142184546441754,0.6666666666666666,both,endo_only,False,2,2,"2.4833667990964816,12.5100742994399,0.0","28.5188470987555,3.2922297214886034",2402,208,CpG:,1151,1,2,2.76934,7.85125;2.70579,74291147,74293549
chr11,96004570,96007818,2.653885010664826,8.483674547251532,0.3128225860013229,0.4,both,endo_only,False,3,2,"1.115930662740527,1.900636448579676,4.945087920674277","12.780160711244548,4.187188383258517",1564,3248,CpG:,1317,0,2,,6.41136;3.91986,96006355,96007919
chr6,116460726,116461210,6.730070021833342,21.68855298846657,0.3103051653751278,0.2,both,endo_only,False,3,2,"3.2868969941339574,7.232043975541572,9.671269095824494","23.345721103511305,20.031384873421832",2261,484,CpG:,1473,1,2,7.97737,7.68723;3.8396,116459904,116462165
chr15,39076767,39077097,14.236429070881089,46.50764517317582,0.3061094368005591,0.2,both,endo_only,False,3,2,"15.332413364092913,12.908183717970019,14.468690130580335","52.479926710359024,40.53536363599261",1574,330,CpG:,883,0,2,,13.0987;6.13646,39075891,39077465
chr11,118891228,118891637,8.834809723653292,29.288981036136025,0.3016427820671917,0.6666666666666666,both,endo_only,False,2,2,"2.0742290145472477,24.430200156412628,0.0","44.38907753793817,14.188884534333882",760,409,CpG:,1492,1,2,3.34804,10.5691;4.33533,118891070,118891830
chr18,52528602,52529593,8.209689954046388,27.36826907057362,0.2999711064253402,0.2,both,endo_only,False,3,2,"10.62688156508833,8.62939955025314,5.372788746797693","10.966712987768092,43.76982515337915",2694,991,CpG:,985,0,2,,"3.27947;4.80431,9.85864",52527861,52530555
chr10,45335481,45336223,6.48451501920762,21.631506718535423,0.2997717682629672,0.4,both,endo_only,False,3,2,"4.574609743886888,5.979073658692044,8.899861655043926","34.96341587567867,8.299597561392174",1819,742,CpG:,930,1,2,6.16642,8.51099;4.0247,45334856,45336675
chr13,40728309,40728773,9.39477408119484,31.91248207918803,0.2943918325714224,0.2,both,endo_only,False,3,2,"7.9946754315694175,3.858610062069363,16.331036749945746","47.11048185899523,16.714482299380833",2250,464,CpG:,895,0,2,,9.16458;3.94659,40727596,40729846
chr7,29161529,29161873,9.1543775667838,31.151761587606657,0.2938638812138879,1.0,both,endo_only,False,3,2,"4.235453844070435,6.870912227718108,16.35676662856286","59.42831581666929,2.875207358544026",2180,344,CpG:,807,1,2,3.28841,8.0344;2.25482,29161149,29163329
chr2,74697932,74698814,4.141291755349427,14.456090055737684,0.2864738486950509,1.0,both,endo_only,False,2,2,"6.021238057641524,6.402637208406759,0.0","3.5785214236170244,25.33365868785834",2202,882,CpG:,1154,0,2,,2.5992;6.03216,74696999,74699201
chr9,98954990,98957445,3.901262620294002,13.739747825008395,0.2839398997697119,0.2,both,endo_only,False,3,2,"3.0648191675749645,7.343396996181389,1.2955716971256528","11.215130869817784,16.26436478019901",3764,2455,CpG:,1339,1,2,2.94065,8.19989;7.52814,98954615,98958379
chr5,119006032,119006424,10.675360656713366,38.106962026375164,0.2801420026431017,0.8,both,endo_only,False,3,2,"13.560982048136108,7.379745032255094,11.085354889748896","65.23574826682339,10.978175785926942",1429,392,CpG:,1492,1,2,3.6874,12.2128;4.74558,119005748,119007177
chrX,9199822,9200810,7.34291702974568,26.668666611272023,0.2753387387820153,0.2,both,endo_only,False,3,2,"9.545842882205772,8.175999931195681,4.306908275835588","25.798014266688238,27.539318955855812",1583,988,CpG:,655,0,2,,5.57823;3.85003,9199422,9201005
chr15,91199432,91199666,13.785646983407702,50.25382773236531,0.2743203374840487,0.2,both,endo_only,False,3,2,"17.07782921829844,16.875042192722724,7.404069539201938","77.12868020902805,23.37897525570257",615,234,CpG:,1280,1,2,2.91963,5.96358;4.73513,91199224,91199839
chr13,98354262,98356159,6.529027234233603,24.06845192399496,0.2712690976075828,0.6666666666666666,both,endo_only,False,2,2,"7.866076768170513,11.721004934530297,0.0","39.86805816980757,8.268845678182352",1478,1897,CpG:,1335,1,2,2.70309,7.61605;4.05868,98353883,98355361
chr4,119521076,119521318,4.931105771632953,18.227919950663484,0.2705248753000731,0.6666666666666666,both,endo_only,False,2,2,"11.855335173205795,2.9379821416930616,0.0","28.226719967672757,8.229119933654214",1712,242,CpG:,1496,1,2,2.62629,5.77328;4.96061,119520769,119522481
chr9,99868720,99869713,3.62193653441374,13.717421998129163,0.2640391565490741,0.3333333333333333,both,endo_only,False,2,2,"6.624048546799031,4.24176105644219,0.0","11.019647263729318,16.41519673252901",1079,993,CpG:,1346,0,2,,3.11904;3.52856,99868580,99869659
chr4,99650896,99651569,5.207974984221667,20.04652449709292,0.25979440899977,0.2,both,endo_only,False,3,2,"5.975165181435072,8.215188405066527,1.4335713661634004","20.61806933289537,19.47497966129046",4160,673,CpG:,1345,0,2,,5.29275;4.69211,99649144,99653304
chr18,20058957,20059346,10.040985743204752,38.87748851671179,0.2582724894610554,0.4,both,endo_only,False,3,2,"7.631933355265831,21.482726034140818,1.0082978402076102","63.910900735133616,13.844076298289975",1454,389,CpG:,738,1,2,4.80296,8.34948;4.35181,20058438,20059892
chr15,25364175,25364865,5.793136323041256,22.47661186161608,0.2577406398574846,0.2,both,endo_only,False,3,2,"3.266544538441271,9.462980608987337,4.649883821695158","26.4378895655717,18.515334157660455",2525,690,CpG:,778,0,2,,7.66855;10.0622,25362498,25365023
chr6,64728991,64730262,4.823763636371246,18.95968996319802,0.2544220736591411,0.2,both,endo_only,False,3,2,"5.403444122969571,6.75264615563317,2.315200630510998","16.728984762247503,21.190395164148537",1677,1271,CpG:,1078,1,2,3.33798,8.83728;3.96539,64728680,64730357
chr8,109948109,109948586,12.462793113053444,49.97455540743741,0.249382771121135,0.2,both,endo_only,False,3,2,"12.048312742059881,24.052458882187352,1.2876077149131082","61.956163464170515,37.992947350704306",1650,477,CpG:,1423,1,2,3.4475,12.6723;7.66091,109946949,109948599
chr8,69808623,69808837,9.310393442102033,39.5312163281308,0.2355200347194139,0.2,both,endo_only,False,3,2,"9.581009402567027,12.299379422182497,6.050791501556566","38.56371741569109,40.49871524057052",1078,214,CpG:,1117,0,2,,6.29233;5.53418,69808335,69809413
chr8,117498196,117498881,10.146556804494956,43.12049673402738,0.2353070482253529,0.2,both,endo_only,False,3,2,"12.195842921238526,13.94608967324043,4.297737819005908","37.78720537645334,48.453788091601425",722,685,CpG:,1481,0,2,,8.664;4.82719,117497891,117498613
chrX,75475402,75475665,3.1069644945022,13.72527244959567,0.2263681472198191,0.4,both,endo_only,False,3,2,"0.4177402251642135,5.364400462821204,3.5387527955211824","5.220302145352142,22.230242753839196",2089,263,CpG:,1160,0,2,,6.57158;4.7567,75474454,75476543
chr12,33956951,33958701,4.706930261890904,21.03332610691295,0.2237843999548837,0.2,both,endo_only,False,3,2,"7.302846888104836,3.828396769846473,2.989547127721404","9.676080362564948,32.39057185126095",3332,1750,CpG:,844,1,2,2.6633,5.21116;7.19842,33955645,33958977
chr7,120830946,120831325,9.32452331931155,43.38846384080905,0.2149078924186609,0.3333333333333333,both,endo_only,False,2,2,"9.541360838026902,18.432209119907746,0.0","34.5324731244503,52.24445455716781",1117,379,CpG:,1506,1,2,3.73863,6.18734;6.72972,120830772,120831889
chr5,29474028,29474397,8.223066185459947,38.36990200389515,0.214310325437505,0.2,both,endo_only,False,3,2,"13.418850730940743,8.872974567748933,2.377373257690161","62.39732322245399,14.342480785336313",682,369,CpG:,809,0,2,,9.2976;3.38223,29473909,29474591
chr5,139553163,139553452,4.288154425596384,20.462495265992985,0.2095616575522415,0.2,both,endo_only,False,3,2,"1.8367448151760262,6.145138279905489,4.882580181707638","31.608365796237933,9.316624735748032",4135,289,CpG:,1649,0,2,,8.49039;3.77035,139551699,139555834
chr2,157941356,157941559,9.991798127762609,52.43008088232807,0.1905737690961757,0.2,both,endo_only,False,3,2,"13.831460945517525,11.993070754845576,4.150862682924727","62.27080088088978,42.58936088376635",1317,203,CpG:,1789,1,2,2.7505,6.08168;5.85399,157940537,157941854
chr16,92695557,92695816,6.406278377862146,35.01829624853764,0.1829408927377405,0.2,both,endo_only,False,3,2,"4.412592144787009,9.24999595922867,5.556247029570758","43.6958076748146,26.34078482226067",985,259,CpG:,1292,0,2,,10.5478;3.48006,92694984,92695969
chr14,54584483,54584701,7.605343543441747,43.5870437233806,0.1744863357035189,0.4,both,endo_only,False,3,2,"1.6832871443139383,20.500464597124484,0.6322788888868182","69.25295637096764,17.92113107579355",1572,218,CpG:,1001,0,2,,10.7708;4.75699,54583098,54584670
chr17,17849945,17850442,5.944432807476464,35.553991167541774,0.1671945290041952,0.3333333333333333,both,endo_only,False,2,2,"10.33152115468993,7.501777267739465,0.0","23.783092243710385,47.32489009137316",673,497,CpG:,721,0,2,,4.79052;7.90416,17849650,17850323
chr13,55828355,55828762,5.013143991009262,33.08525733338177,0.1515219887968406,0.2,both,endo_only,False,3,2,"3.807178498453849,10.56427963147454,0.6679738430993959","31.63715936120693,34.53335530555661",837,407,CpG:,1010,1,2,2.93257,4.18151;4.5525,55827966,55828803
chr3,8805767,8805993,3.782583302547208,25.62613799265197,0.1476064518044749,0.2,both,endo_only,False,3,2,"5.197969803697307,5.020625963007448,1.1291541409368675","38.172116860171236,13.080159125132706",1733,226,CpG:,652,0,2,,10.4584;4.39606,8804942,8806675
